p, k, b/c, n, result
0.02,4.22,2.1, 2, 0
0.02,3.74,2.1, 84, 0
0.02,3.7,2.1, 205, 0
0.02,4.44,2.1, 112, 0
0.02,3.88,2.1, 119, 0
0.02,4.0,2.1, 70, 0
0.02,3.76,2.1, 87, 0
0.02,4.18,2.1, 613, 0
0.02,4.1,2.1, 22, 0
0.02,4.24,2.1, 1, 0
0.02,3.86,2.1, 889, 0
0.02,3.8,2.1, 62, 0
0.02,3.96,2.1, 449, 0
0.02,3.8,2.1, 1657, 0
0.02,3.9,2.1, 234, 0
0.02,3.86,2.1, 129, 0
0.02,3.74,2.1, 80, 0
0.02,3.76,2.1, 64, 0
0.02,3.96,2.1, 19, 0
0.02,3.84,2.1, 120, 0
0.02,3.6,2.1, 918, 0
0.02,4.0,2.1, 83, 0
0.02,3.84,2.1, 61, 0
0.02,4.0,2.1, 2042, 0
0.02,3.98,2.1, 290, 0
0.02,3.78,2.1, 93, 0
0.02,4.24,2.1, 117, 0
0.02,3.82,2.1, 223, 0
0.02,3.7,2.1, 4640, 0
0.02,3.7,2.1, 68, 0
0.02,3.84,2.1, 4, 0
0.02,3.98,2.1, 85, 0
0.02,3.94,2.1, 165, 0
0.02,3.68,2.1, 482, 0
0.02,3.74,2.1, 34, 0
0.02,4.34,2.1, 158, 0
0.02,3.74,2.1, 279, 0
0.02,4.06,2.1, 33, 0
0.02,4.2,2.1, 183, 0
0.02,3.78,2.1, 54, 0
0.02,4.02,2.1, 55, 0
0.02,4.28,2.1, 225, 0
0.02,3.7,2.1, 37, 0
0.02,3.78,2.1, 146, 0
0.02,3.64,2.1, 9, 0
0.02,4.06,2.1, 1177, 0
0.02,4.18,2.1, 7, 0
0.02,3.7,2.1, 128, 0
0.02,4.3,2.1, 71, 0
0.02,3.98,2.1, 97, 0
0.02,4.04,2.1, 651, 0
0.02,4.16,2.1, 171, 0
0.02,3.86,2.1, 1338, 0
0.02,4.22,2.1, 23, 0
0.02,3.96,2.1, 218, 0
0.02,3.86,2.1, 1020, 0
0.02,3.86,2.1, 133, 0
0.02,3.96,2.1, 35, 0
0.02,3.86,2.1, 137, 0
0.02,3.78,2.1, 111, 0
0.02,3.72,2.1, 78, 0
0.02,3.98,2.1, 23, 0
0.02,3.8,2.1, 398, 0
0.02,3.84,2.1, 781, 0
0.02,3.64,2.1, 64, 0
0.02,3.48,2.1, 1174, 0
0.02,3.9,2.1, 142, 0
0.02,3.98,2.1, 91, 0
0.02,3.9,2.1, 954, 0
0.02,3.78,2.1, 671, 0
0.02,3.4,2.1, 194, 0
0.02,4.08,2.1, 5282, 0
0.02,4.0,2.1, 345, 0
0.02,3.98,2.1, 178, 0
0.02,3.7,2.1, 2, 0
0.02,3.84,2.1, 340, 0
0.02,4.26,2.1, 36, 0
0.02,3.9,2.1, 341, 0
0.02,4.1,2.1, 10, 0
0.02,4.2,2.1, 245, 0
0.02,3.78,2.1, 276, 0
0.02,3.82,2.1, 169, 0
0.02,4.06,2.1, 463, 0
0.02,3.62,2.1, 393, 0
0.02,4.2,2.1, 2004, 0
0.02,3.94,2.1, 16, 0
0.02,3.96,2.1, 23, 0
0.02,3.78,2.1, 17, 0
0.02,3.8,2.1, 218, 0
0.02,3.74,2.1, 242, 0
0.02,4.1,2.1, 219, 0
0.02,4.14,2.1, 10, 0
0.02,4.0,2.1, 4068, 0
0.02,3.9,2.1, 3230, 0
0.02,3.7,2.1, 5, 0
0.02,3.96,2.1, 398, 0
0.02,4.2,2.1, 19, 0
0.02,4.02,2.1, 178, 0
0.02,3.7,2.1, 10000, 13
0.02,3.8,2.1, 683, 0
0.02,3.74,2.1, 464, 0
0.02,3.98,2.1, 88, 0
0.02,4.22,2.1, 174, 0
0.02,3.86,2.1, 61, 0
0.02,3.78,2.1, 40, 0
0.02,3.42,2.1, 99, 0
0.02,4.32,2.1, 40, 0
0.02,3.84,2.1, 373, 0
0.02,3.88,2.1, 1, 0
0.02,4.34,2.1, 19, 0
0.02,4.3,2.1, 1723, 0
0.02,3.74,2.1, 384, 0
0.02,3.52,2.1, 130, 0
0.02,4.02,2.1, 99, 0
0.02,3.88,2.1, 1117, 0
0.02,4.02,2.1, 28, 0
0.02,3.98,2.1, 4539, 0
0.02,3.98,2.1, 894, 0
0.02,3.86,2.1, 425, 0
0.02,3.74,2.1, 3, 0
0.02,3.76,2.1, 76, 0
0.02,4.0,2.1, 14, 0
0.02,3.92,2.1, 487, 0
0.02,3.72,2.1, 1, 0
0.02,4.0,2.1, 71, 0
0.02,3.82,2.1, 173, 0
0.02,4.08,2.1, 2287, 0
0.02,3.7,2.1, 287, 0
0.02,3.48,2.1, 92, 0
0.02,3.96,2.1, 4, 0
0.02,3.72,2.1, 96, 0
0.02,3.96,2.1, 64, 0
0.02,3.98,2.1, 26, 0
0.02,3.68,2.1, 364, 0
0.02,3.98,2.1, 17, 0
0.02,3.86,2.1, 127, 0
0.02,3.94,2.1, 70, 0
0.02,3.9,2.1, 8, 0
0.02,3.8,2.1, 1172, 0
0.02,3.74,2.1, 26, 0
0.02,3.66,2.1, 2703, 0
0.02,3.98,2.1, 2512, 0
0.02,4.0,2.1, 946, 0
0.02,3.78,2.1, 2438, 0
0.02,3.7,2.1, 2479, 0
0.02,3.92,2.1, 62, 0
0.02,4.18,2.1, 4, 0
0.02,4.38,2.1, 194, 0
0.02,4.02,2.1, 1350, 0
0.02,3.94,2.1, 61, 0
0.02,4.04,2.1, 1039, 0
0.02,3.92,2.1, 896, 0
0.02,4.22,2.1, 46, 0
0.02,3.78,2.1, 196, 0
0.02,4.14,2.1, 681, 0
0.02,4.12,2.1, 31, 0
0.02,4.0,2.1, 13, 0
0.02,4.08,2.1, 92, 0
0.02,3.74,2.1, 566, 0
0.02,3.62,2.1, 117, 0
0.02,3.84,2.1, 110, 0
0.02,3.72,2.1, 141, 0
0.02,3.72,2.1, 2169, 0
0.02,3.64,2.1, 678, 0
0.02,3.94,2.1, 48, 0
0.02,3.78,2.1, 881, 0
0.02,4.26,2.1, 762, 0
0.02,3.88,2.1, 2694, 0
0.02,3.84,2.1, 7, 0
0.02,3.94,2.1, 34, 0
0.02,3.82,2.1, 10000, 13
0.02,4.38,2.1, 76, 0
0.02,4.24,2.1, 86, 0
0.02,4.42,2.1, 75, 0
0.02,3.8,2.1, 12, 0
0.02,3.84,2.1, 5, 0
0.02,3.78,2.1, 15, 0
0.02,3.74,2.1, 313, 0
0.02,4.24,2.1, 8620, 0
0.02,3.62,2.1, 104, 0
0.02,3.9,2.1, 2613, 0
0.02,3.58,2.1, 237, 0
0.02,4.02,2.1, 18, 0
0.02,3.58,2.1, 26, 0
0.02,4.2,2.1, 46, 0
0.02,4.1,2.1, 556, 0
0.02,4.14,2.1, 10, 0
0.02,3.96,2.1, 75, 0
0.02,4.28,2.1, 521, 0
0.02,3.92,2.1, 590, 0
0.02,3.78,2.1, 3610, 0
0.02,3.6,2.1, 25, 0
0.02,3.92,2.1, 4807, 0
0.02,3.9,2.1, 6, 0
0.02,3.84,2.1, 34, 0
0.02,4.36,2.1, 93, 0
0.02,3.74,2.1, 45, 0
0.02,4.48,2.1, 0, 0
0.02,3.92,2.1, 49, 0
0.02,3.94,2.1, 11, 0
0.02,3.82,2.1, 0, 0
0.02,3.96,2.1, 50, 0
0.02,4.02,2.1, 230, 0
0.02,4.34,2.1, 61, 0
0.02,3.56,2.1, 2160, 0
0.02,4.08,2.1, 154, 0
0.02,3.88,2.1, 24, 0
0.02,4.12,2.1, 16, 0
0.02,3.98,2.1, 30, 0
0.02,4.06,2.1, 658, 0
0.02,3.86,2.1, 125, 0
0.02,4.08,2.1, 4474, 0
0.02,3.64,2.1, 120, 0
0.02,3.78,2.1, 194, 0
0.02,3.74,2.1, 14, 0
0.02,3.62,2.1, 2124, 0
0.02,4.18,2.1, 5, 0
0.02,4.08,2.1, 400, 0
0.02,4.1,2.1, 5, 0
